Level;Description;Number;Onset_Date;Onset_Time;Offset_Date;Offset_Time;Duration_Date;Duration_Time;Mutual;Avert;Refer;Follow;Share;Single gaze;Supporting gesture;Supporting behavior;Transcript
3;;199;0d;00:03:02.480;0d;00:03:06.920;0d;00:00:04.480;;;;;;;Supporting behavior- T;;language, gesture
3;;200;0d;00:03:16.440;0d;00:03:16.680;0d;00:00:00.280;Mutual - CT;;;;;;;;
3;;201;0d;00:03:16.680;0d;00:03:17.320;0d;00:00:00.680;;;Refer -T;;;;;;
3;;202;0d;00:03:17.280;0d;00:03:17.320;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;203;0d;00:03:17.320;0d;00:03:17.920;0d;00:00:00.640;;;;;Share - CT;;;;<BR>
3;;204;0d;00:03:18.040;0d;00:03:18.120;0d;00:00:00.120;Mutual - CT;;;;;;;;
3;;205;0d;00:03:18.160;0d;00:03:18.280;0d;00:00:00.160;;;Refer -T;;;;;;
3;;206;0d;00:03:18.240;0d;00:03:18.280;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;207;0d;00:03:18.280;0d;00:03:18.920;0d;00:00:00.680;;;;;Share - CT;;;;<BR>
3;;208;0d;00:03:18.920;0d;00:03:19.320;0d;00:00:00.440;;;;;;Single gaze - C;;;
3;;209;0d;00:03:19.320;0d;00:03:20.280;0d;00:00:01.000;Mutual - CT;;;;;;;;
3;;210;0d;00:03:20.280;0d;00:03:21.520;0d;00:00:01.280;;;Refer - CT;;;;;;
3;;211;0d;00:03:21.480;0d;00:03:21.520;0d;00:00:00.080;;;;Follow - T;;;;;
3;;212;0d;00:03:21.520;0d;00:03:24.360;0d;00:00:02.880;;;;;Share - CT;;;;<BR>
3;;213;0d;00:03:24.480;0d;00:03:25.160;0d;00:00:00.720;Mutual - CT;;;;;;;;
3;;214;0d;00:03:25.200;0d;00:03:25.480;0d;00:00:00.320;;;Refer - CT;;;;;;
3;;215;0d;00:03:25.440;0d;00:03:25.480;0d;00:00:00.080;;;;Follow - T;;;;;
3;;216;0d;00:03:25.480;0d;00:03:25.680;0d;00:00:00.240;;;;;Share - CT;;;;
3;;217;0d;00:03:25.760;0d;00:03:25.880;0d;00:00:00.160;;;;;;Single gaze - C;;;
3;;218;0d;00:03:25.760;0d;00:03:26.760;0d;00:00:01.040;;;;;;;Supporting behavior- T;;language
3;;219;0d;00:03:25.880;0d;00:03:26.200;0d;00:00:00.360;Mutual - CT;;;;;;;;
3;;220;0d;00:03:26.280;0d;00:03:28.720;0d;00:00:02.480;;;;;Share - CT;;;;
3;;221;0d;00:03:27.320;0d;00:03:28.400;0d;00:00:01.120;;;;;;;Supporting behavior- CT;;gesture
3;;222;0d;00:03:28.640;0d;00:03:31.880;0d;00:00:03.280;;;;;;;Supporting behavior- T;;sound, language, gesture
3;;223;0d;00:03:28.760;0d;00:03:29.080;0d;00:00:00.360;;;;;;Single gaze - C;;;
3;;224;0d;00:03:28.760;0d;00:03:29.280;0d;00:00:00.560;;;Refer -T;;;;;;
3;;225;0d;00:03:29.080;0d;00:03:29.360;0d;00:00:00.320;;;;Follow - CT;;;;;
3;;226;0d;00:03:29.280;0d;00:03:40.000;0d;00:00:10.760;;;;;Share - CT;;;;
3;;227;0d;00:03:40.080;0d;00:03:40.440;0d;00:00:00.400;;;;;;Single gaze - C;;;
3;;228;0d;00:03:40.440;0d;00:03:41.720;0d;00:00:01.320;Mutual - CT;;;;;;;;
3;;229;0d;00:03:41.640;0d;00:03:42.400;0d;00:00:00.800;;;;;;Single gaze - C;;;
3;;230;0d;00:03:42.480;0d;00:03:42.600;0d;00:00:00.160;Mutual - CT;;;;;;;;
3;;231;0d;00:03:42.600;0d;00:03:43.560;0d;00:00:01.000;;;Refer -T;;;;;;
3;;232;0d;00:03:43.520;0d;00:03:43.560;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;233;0d;00:03:43.560;0d;00:03:52.760;0d;00:00:09.240;;;;;Share - CT;;;;
3;;234;0d;00:03:52.840;0d;00:03:54.120;0d;00:00:01.320;;;;;;Single gaze - C;;;spielzeugkiste
3;;235;0d;00:03:54.120;0d;00:03:58.680;0d;00:00:04.600;;;;;Share - CT;;;;
3;;236;0d;00:03:58.160;0d;00:04:02.720;0d;00:00:04.600;;;;;;;Supporting behavior- T;;gesture, sound
3;;237;0d;00:03:59.000;0d;00:03:59.320;0d;00:00:00.360;;;;;;Single gaze - C;;;
3;;238;0d;00:03:59.120;0d;00:03:59.400;0d;00:00:00.320;;;Refer -T;;;;;;
3;;239;0d;00:03:59.320;0d;00:03:59.400;0d;00:00:00.120;;;;Follow - CT;;;;;
3;;240;0d;00:03:59.400;0d;00:04:00.040;0d;00:00:00.680;;;;;Share - CT;;;;
3;;241;0d;00:04:00.040;0d;00:04:00.320;0d;00:00:00.320;;;;;;Single gaze - C;;;
